grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
<30,Mujer,33,16 Aug - 22 Aug 20,1,-66.7,0.1
<30,Mujer,34,23 Aug - 29 Aug 20,5,400.0,0.7
<30,Mujer,35,30 Aug - 05 Sep 20,3,-40.0,0.4
<30,Mujer,36,06 Sep - 12 Sep 20,1,-66.7,0.1
<30,Mujer,37,13 Sep - 19 Sep 20,1,0.0,0.1
<30,Mujer,39,27 Sep - 03 Oct 20,4,300.0,0.6
<30,Mujer,40,04 Oct - 10 Oct 20,3,-25.0,0.4
<30,Mujer,41,11 Oct - 17 Oct 20,2,-33.3,0.3
<30,Mujer,42,18 Oct - 24 Oct 20,2,0.0,0.3
<30,Mujer,43,25 Oct - 31 Oct 20,1,-50.0,0.1
<30,Mujer,44,01 Nov - 07 Nov 20,1,0.0,0.1
<30,Mujer,45,08 Nov - 14 Nov 20,3,200.0,0.4
<30,Mujer,46,15 Nov - 21 Nov 20,3,0.0,0.4
<30,Mujer,47,22 Nov - 28 Nov 20,2,-33.3,0.3
<30,Mujer,49,06 Dec - 12 Dec 20,1,-50.0,0.1
<30,Mujer,50,13 Dec - 19 Dec 20,1,0.0,0.1
<30,Mujer,51,20 Dec - 26 Dec 20,2,100.0,0.3
<30,Mujer,52,27 Dec - 02 Jan 21,1,-50.0,0.1
<30,Mujer,53,03 Jan - 09 Jan 21,4,300.0,0.6
<30,Mujer,54,10 Jan - 16 Jan 21,1,-75.0,0.1
<30,Mujer,55,17 Jan - 23 Jan 21,3,200.0,0.4
<30,Mujer,56,24 Jan - 30 Jan 21,1,-66.7,0.1
<30,Mujer,57,31 Jan - 06 Feb 21,4,300.0,0.6
<30,Mujer,58,07 Feb - 13 Feb 21,3,-25.0,0.4
<30,Mujer,59,14 Feb - 20 Feb 21,3,0.0,0.4
<30,Mujer,60,21 Feb - 27 Feb 21,2,-33.3,0.3
<30,Mujer,61,28 Feb - 06 Mar 21,4,100.0,0.6
<30,Mujer,62,07 Mar - 13 Mar 21,7,75.0,1.0
<30,Mujer,63,14 Mar - 20 Mar 21,3,-57.1,0.4
<30,Mujer,64,21 Mar - 27 Mar 21,5,66.7,0.7
<30,Mujer,65,28 Mar - 31 Mar 21,5,0.0,1.2
>=70,Hombre,11,16 Mar - 21 Mar 20,2,-60.0,0.3
